company_name,report_year,report_value,role_type,pct_of_role_type,source
Apple,2020,asian,leadership,27.0%,https://www.apple.com/diversity/
Apple,2020,black,leadership,4.0%,https://www.apple.com/diversity/
Apple,2020,hispanic,leadership,8.0%,https://www.apple.com/diversity/
Apple,2020,white,leadership,59.0%,https://www.apple.com/diversity/
Apple,2020,asian,non_technical,13.0%,https://www.apple.com/diversity/
Apple,2020,black,non_technical,12.0%,https://www.apple.com/diversity/
Apple,2020,hispanic,non_technical,21.0%,https://www.apple.com/diversity/
Apple,2020,white,non_technical,49.0%,https://www.apple.com/diversity/
Apple,2020,asian,technical,39.0%,https://www.apple.com/diversity/
Apple,2020,black,technical,6.0%,https://www.apple.com/diversity/
Apple,2020,hispanic,technical,8.0%,https://www.apple.com/diversity/
Apple,2020,white,technical,44.0%,https://www.apple.com/diversity/
Dropbox,2016,asian,all_roles,30.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,black,all_roles,3.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,hispanic,all_roles,6.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,white,all_roles,57.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,asian,leadership,19.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,black,leadership,1.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,hispanic,leadership,1.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,white,leadership,74.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,asian,non_technical,24.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,black,non_technical,4.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,hispanic,non_technical,6.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,white,non_technical,61.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,asian,technical,36.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,black,technical,1.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,hispanic,technical,6.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2016,white,technical,54.0%,https://blog.dropbox.com/topics/company/diversity-at-dropbox
Dropbox,2017,asian,all_roles,32.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,black,all_roles,3.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,hispanic,all_roles,6.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,white,all_roles,55.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,asian,leadership,23.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,black,leadership,1.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,hispanic,leadership,1.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,white,leadership,70.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,asian,non_technical,26.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,black,non_technical,4.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,hispanic,non_technical,8.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,white,non_technical,57.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,asian,technical,38.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,black,technical,2.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,hispanic,technical,5.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2017,white,technical,53.0%,https://blog.dropbox.com/topics/company/2017-diversity-update
Dropbox,2018,asian,all_roles,34.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,black,all_roles,4.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,hispanic,all_roles,7.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,white,all_roles,52.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,asian,leadership,23.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,black,leadership,3.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,hispanic,leadership,1.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,white,leadership,70.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,asian,non_technical,27.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,black,non_technical,6.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,hispanic,non_technical,8.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,white,non_technical,53.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,asian,technical,40.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,black,technical,1.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,hispanic,technical,5.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2018,white,technical,50.0%,https://blog.dropbox.com/topics/company/an-update-on-diversity-for-2018
Dropbox,2019,asian,all_roles,34.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,black,all_roles,4.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,hispanic,all_roles,9.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,white,all_roles,48.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,asian,leadership,25.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,black,leadership,4.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,hispanic,leadership,3.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,white,leadership,62.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,asian,non_technical,26.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,black,non_technical,7.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,hispanic,non_technical,11.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,white,non_technical,52.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,asian,technical,42.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,black,technical,3.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,hispanic,technical,5.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2019,white,technical,47.0%,https://blog.dropbox.com/topics/company/our-2019-diversity-report
Dropbox,2020,asian,all_roles,36.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,black,all_roles,4.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,hispanic,all_roles,8.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,white,all_roles,47.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,asian,leadership,26.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,black,leadership,7.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,hispanic,leadership,2.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,white,leadership,61.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,asian,non_technical,25.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,black,non_technical,7.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,hispanic,non_technical,11.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,white,non_technical,53.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,asian,technical,44.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,black,technical,3.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,hispanic,technical,6.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
Dropbox,2020,white,technical,43.0%,https://blog.dropbox.com/topics/company/our-2020-diversity-report
